,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายงานรายวิชาที่เปิดสอนให้นิสิตลงทะเบียน,,,,,,,,,,,,,,,,,,,,,,,,,,,
สถานที่จัดการเรียนการสอน มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน,,,,,,,,,,,,,,,,,,,,,,,,,,,
ภาคการศึกษา ภาคต้น/2568,,,,,,,,,,,,,,,,,,,,,,,,,,,
วิชา,บรรยาย,,,,,,,ปฎิบัติ,,,,,,อาจารย์ผู้สอน,,,,,,,,,,,,,
,หน่วยกิตรวม,หน่วยกิต,หมู่เรียน,วัน-เวลา,ห้องเรียน,สาขา-ชั้นปีมีสิทธิ์,รับ,หน่วยกิต,หมู่เรียน,วัน-เวลา,ห้องเรียน,สาขา-ชั้นปีมีสิทธิ์,รับ,,,,,,,,,,,,,,
บริหารธุรกิจ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,3,809,"วันอังคาร  16:30-18:00,วันพฤหัสบดี  16:30-18:00","SC9-411 , SC9-237",Q02,15,,,,,,,"ทิสวัส ธำรงสานต์*  , Herve Hinaux",,,,,,,,,,,,,
01356115-65 ภาษาฝรั่งเศสพื้นฐาน I (Foundation French I),3,2,700,วันศุกร์  14:30-16:30,SC9-237,Q02-3,4,,,,,,,"Herve Hinaux , ทิสวัส ธำรงสานต์* ",,,,,,,,,,,,,
,,,,,,,,1,711,"วันอังคาร  9:00-10:30,วันพฤหัสบดี  9:00-10:30","SC9-411 , SC9-411",Q02-3,4,"Herve Hinaux , ทิสวัส ธำรงสานต์* ",,,,,,,,,,,,,
01356242-60 การฟัง-การพูดภาษาฝรั่งเศสเพื่องานอาชีพ (French Listening-Speaking for Careers),3,3,700,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","SC9-411 , SC9-411","Q02-3 , Q02-4",5,,,,,,,Herve Hinaux,,,,,,,,,,,,,
,3,3,809,วันศุกร์  16:30-19:30,SC9-411,"Q02-3 , Q02-4",5,,,,,,,Herve Hinaux,,,,,,,,,,,,,
01358101-67 ภาษาญี่ปุ่นเบื้องต้น I (Elementary Japanese I),3,3,700,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","SC9-410 , SC9-410","Q02-1 , Q02-2 , Q02-3 , Q02-4",1,,,,,,,สุรีรัตน์ วงศ์สมิง* ,,,,,,,,,,,,,
,3,3,701,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","SC9-410 , SC9-410","H04-2 , H04-3 , H04-4",40,,,,,,,สุรีรัตน์ วงศ์สมิง* ,,,,,,,,,,,,,
,3,3,702,"วันจันทร์  9:00-10:30,วันพุธ  9:00-10:30","SC9-410 , SC9-410","F78-2 , F78-3 , F78-4",9,,,,,,,สุรีรัตน์ วงศ์สมิง* ,,,,,,,,,,,,,
,3,3,809,"วันจันทร์  14:30-16:00,วันพุธ  14:30-16:00","SC9-410 , SC9-410","Q02-1 , Q02-2 , Q02-3 , Q02-4",35,,,,,,,สุรีรัตน์ วงศ์สมิง* ,,,,,,,,,,,,,
01358103-67 ภาษาญี่ปุ่นเบื้องต้น III (Elementary Japanese III),3,3,700,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","SC9-410 , SC9-410","Q02-2 , Q02-3 , Q02-4",32,,,,,,,สุรีรัตน์ วงศ์สมิง* ,,,,,,,,,,,,,
,3,3,701,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","SC9-410 , SC9-410","H04-2 , H04-3 , H04-4",40,,,,,,,สุรีรัตน์ วงศ์สมิง* ,,,,,,,,,,,,,
,3,3,702,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","SC9-410 , SC9-410","F78-2 , F78-3 , F78-4",32,,,,,,,สุรีรัตน์ วงศ์สมิง* ,,,,,,,,,,,,,
,3,3,809,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","LLB-303 , LLB-303","Q02-1 , Q02-2 , Q02-3 , Q02-4",25,,,,,,,สุรีรัตน์ วงศ์สมิง* ,,,,,,,,,,,,,
,3,3,810,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","LLB-301 , LLB-301","Q02-1 , Q02-2 , Q02-3 , Q02-4",25,,,,,,,สุรีรัตน์ วงศ์สมิง* ,,,,,,,,,,,,,
01358211-60 ภาษาญี่ปุ่นขั้นกลาง I (Intermediate Japanese I),3,3,700,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","SC9-238 , SC9-238",Q02-3,20,,,,,,,Tadashi Ezaki,,,,,,,,,,,,,
,3,3,809,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","SC9-238 , SC9-238",Q02-3,25,,,,,,,Tadashi Ezaki,,,,,,,,,,,,,
01358221-60 การอ่านและรายงานภาษาญี่ปุ่น I (Japanese Reading and Oral Reports I),3,3,700,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","SC9-238 , SC9-238",Q02-4,20,,,,,,,Tadashi Ezaki,,,,,,,,,,,,,
,3,3,809,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","SC9-238 , SC9-238",Q02-4,25,,,,,,,Tadashi Ezaki,,,,,,,,,,,,,
01361101-67 การใช้ภาษาไทยเบื้องต้น (Introductory Thai Usage),3,3,700,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","LH4-201 , LH4-201","H10-3 , H04-4",125,,,,,,,"ธนัฏฐากุล พรทิพยพานิช*  , กาญจนา โรจนพานิช",,,,,,,,,,,,,
,3,3,701,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","LH4-201 , LH4-201",Q03-1,125,,,,,,,"ธนัฏฐากุล พรทิพยพานิช*  , กาญจนา โรจนพานิช",,,,,,,,,,,,,
,3,3,702,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","LH4-201 , LH4-201",Q22-1,125,,,,,,,"ธนัฏฐากุล พรทิพยพานิช*  , กาญจนา โรจนพานิช",,,,,,,,,,,,,
,3,3,800,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","LH4-201 , LH4-201","Q03-1 , Q03-4",100,,,,,,,"ธนัฏฐากุล พรทิพยพานิช*  , กาญจนา โรจนพานิช",,,,,,,,,,,,,
,3,3,855,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","LH4-201 , LH4-201","H08-3 , H09-3 , H08-4 , H09-4",100,,,,,,,"ธนัฏฐากุล พรทิพยพานิช*  , กาญจนา โรจนพานิช",,,,,,,,,,,,,
,3,3,870,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","LH4-201 , LH4-201","H01-3 , H01-4",5,,,,,,,"ธนัฏฐากุล พรทิพยพานิช*  , กาญจนา โรจนพานิช",,,,,,,,,,,,,
,3,3,876,"วันจันทร์  14:30-16:00,วันพุธ  14:30-16:00","LH4-201 , LH4-201",H12-1,125,,,,,,,"ธนัฏฐากุล พรทิพยพานิช*  , กาญจนา โรจนพานิช",,,,,,,,,,,,,
01362101-67 ภาษาจีน I (Chinese I),3,3,700,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","SC9-408 , SC9-408","Q02-1 , F78-1 , F78-2",4,,,,,,,"ภัทรพงศ์ คงวัฒนา*  , เบญจอาภา พิเศษสกุลวงศ์",,,,,,,,,,,,,
,3,3,701,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","SC14-617 , SC14-617","Q02-1 , F78-1 , F78-2",0,,,,,,,"ภัทรพงศ์ คงวัฒนา*  , เบญจอาภา พิเศษสกุลวงศ์",,,,,,,,,,,,,
,3,3,702,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","SC9-408 , SC9-408","H04-2 , H04-3",30,,,,,,,"ภัทรพงศ์ คงวัฒนา*  , เบญจอาภา พิเศษสกุลวงศ์",,,,,,,,,,,,,
,3,3,703,"วันจันทร์  9:00-10:30,วันพุธ  9:00-10:30","SC14-617 , SC14-617","H04-2 , H04-3",32,,,,,,,"ภัทรพงศ์ คงวัฒนา*  , เบญจอาภา พิเศษสกุลวงศ์",,,,,,,,,,,,,
,3,3,809,"วันจันทร์  9:00-10:30,วันพุธ  9:00-10:30","LLB-308  , LLB-308 ",Q02,30,,,,,,,Shuzhen Nong* ,,,,,,,,,,,,,
,3,3,810,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","LLB-308  , LLB-308 ",Q02,30,,,,,,,Shuzhen Nong* ,,,,,,,,,,,,,
,3,3,811,"วันจันทร์  14:30-16:00,วันพุธ  14:30-16:00","LLB-308 , LLB-308",Q02,30,,,,,,,Shuzhen Nong* ,,,,,,,,,,,,,
01362201-67 ภาษาจีน III (Chinese III),3,3,700,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","SC9-240 , SC9-240","Q02-2 , Q02-3 , F78-2 , F78-3 , F78-4",45,,,,,,,"พิมพรรณ จันทรแดง*  , เบญจอาภา พิเศษสกุลวงศ์",,,,,,,,,,,,,
,3,3,701,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","SC14-617 , SC14-617","Q02-2 , Q02-3 , F78-2 , F78-3 , F78-4",45,,,,,,,"พิมพรรณ จันทรแดง*  , เบญจอาภา พิเศษสกุลวงศ์",,,,,,,,,,,,,
,3,3,702,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","SC9-240 , SC9-240","H04-3 , H04-4",45,,,,,,,"พิมพรรณ จันทรแดง*  , เบญจอาภา พิเศษสกุลวงศ์",,,,,,,,,,,,,
,3,3,703,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","SC9-240 , ติดต่อผู้สอน","H04-3 , H04-4 , F78-3 , F78-4",45,,,,,,,"พิมพรรณ จันทรแดง*  , เบญจอาภา พิเศษสกุลวงศ์",,,,,,,,,,,,,
,3,3,809,"วันอังคาร  9:00-10:30,วันพฤหัสบดี  9:00-10:30","LLB-308 , LLB-308",Q02,30,,,,,,,Shuzhen Nong* ,,,,,,,,,,,,,
,3,3,810,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","LLB-308 , LLB-308",Q02,30,,,,,,,Shuzhen Nong* ,,,,,,,,,,,,,
01362242-58 การสนทนาภาษาจีน II (Chinese Conversation II),3,3,700,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","SC9-240 , SC9-240",Q02-4,20,,,,,,,พิมพรรณ จันทรแดง* ,,,,,,,,,,,,,
,3,3,809,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","LLB-308 , LLB-308",Q02-4,20,,,,,,,Shuzhen Nong* ,,,,,,,,,,,,,
01362301-67 ภาษาจีน V (Chinese V),3,3,700,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","SC9-411 , SC9-411",Q02-3,8,,,,,,,ภัทรพงศ์ คงวัฒนา* ,,,,,,,,,,,,,
,3,3,809,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","LLB-308 , LLB-308",Q02-3,30,,,,,,,Shuzhen Nong* ,,,,,,,,,,,,,
01371111-67 สื่อสารสนเทศเพื่อการเรียนรู้ (Information Media for Learning),1,1,700,วันจันทร์  11:00-12:00,LH4-305,"F80-3 , A34-1 , A50-1",142,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,701,วันจันทร์  13:00-14:00,LH4-305,"Q05-3 , T02-1 , E24-4",184,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,702,วันอังคาร  10:00-11:00,LH4-305,"E24-3 , F78-1",122,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,703,วันอังคาร  13:00-14:00,LH4-302,"Q02-1 , H05-1",190,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,704,วันพุธ  11:00-12:00,LH4-305,"Q06-1 , F80-1",120,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,705,วันพุธ  13:00-14:00,LH4-305,"Q04-1 , B03-1 , T02-1",195,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,706,วันพฤหัสบดี  13:00-14:00,LH4-302,"E04-1 , H05-1 , Q03-2",176,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,707,วันศุกร์  11:00-12:00,LH4-305,"A50-1 , H05-1",180,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,800,วันพุธ  10:00-11:00,LH4-305,"Q03-2 , Q03-4",83,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,809,วันอังคาร  11:00-12:00,LH4-305,Q02,125,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,820,วันพุธ  9:00-10:00,LH4-305,"Q05-3 , Q05-4",80,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,845,วันอังคาร  11:00-12:00,LH4-305,E02-6,1,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,855,วันศุกร์  10:00-11:00,LH4-305,H11-4,5,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,872,วันศุกร์  10:00-11:00,LH4-305,"H03-3 , H03-4",40,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,874,วันศุกร์  10:00-11:00,LH4-305,"H07-2 , H07-3 , H07-4",10,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
,1,1,882,วันศุกร์  10:00-11:00,LH4-305,"H05-1 , H05-2",200,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
01373221-60 วิวัฒนาการวรรณคดีอังกฤษ (Evolution of English Literature),3,3,700,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","LLB304 , LLB304",Q02-3,43,,,,,,,ณัฐกานต์ สีสังข์* ,,,,,,,,,,,,,
,3,3,701,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","LLB304 , LLB304",Q02-3,45,,,,,,,ณัฐกานต์ สีสังข์* ,,,,,,,,,,,,,
,3,3,809,"วันจันทร์  18:00-19:30,วันพุธ  18:00-19:30","LLB304 , LLB304","Q02-3 , Q02-6 , Q02-5 , Q02-4",54,,,,,,,ณัฐกานต์ สีสังข์* ,,,,,,,,,,,,,
,3,3,810,"วันอังคาร  16:30-18:00,วันพฤหัสบดี  16:30-18:00","LLB302 , LLB302","Q02-3 , Q02-4 , Q02-5",49,,,,,,,ณัฐกานต์ สีสังข์* ,,,,,,,,,,,,,
01373323-60 วรรณกรรมร่วมสมัย (Contemporary Literary Works),3,3,700,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","LLB304 , LLB304",Q02-4,44,,,,,,,ณัฐกานต์ สีสังข์* ,,,,,,,,,,,,,
,3,3,701,"วันจันทร์  14:30-16:00,วันพุธ  14:30-16:00","LLB304 , LLB304",Q02-4,45,,,,,,,ณัฐกานต์ สีสังข์* ,,,,,,,,,,,,,
,3,3,809,"วันจันทร์  16:30-18:00,วันพุธ  16:30-18:00","LLB304 , LLB304","Q02-4 , Q02-5",50,,,,,,,ณัฐกานต์ สีสังข์* ,,,,,,,,,,,,,
,3,3,810,"วันอังคาร  18:00-19:30,วันพฤหัสบดี  18:00-19:30","LLB302 , LLB302","Q02-4 , Q02-5",51,,,,,,,ณัฐกานต์ สีสังข์* ,,,,,,,,,,,,,
01373334-65 โลกของเด็กในวรรณคดีอังกฤษ (Children’s World in English Literature),3,3,700,วันพฤหัสบดี  16:30-19:30,LLB301,"Q02-2 , Q02-3 , Q02-4",30,,,,,,,ภัทรภร รักเรียน* ,,,,,,,,,,,,,
,3,3,809,วันพฤหัสบดี  16:30-19:30,LLB301,"Q02-2 , Q02-3 , Q02-4 , Q02-5",32,,,,,,,ภัทรภร รักเรียน* ,,,,,,,,,,,,,
01387101-64 ศิลปะการอยู่ร่วมกับผู้อื่น (The Art of Living with Others),3,3,700,วันศุกร์  13:00-16:00,LH4-302,"Q05-1 , Q11-1",300,,,,,,,จิรพงศ์ ทรัพย์ขุมทอง* ,,,,,,,,,,,,,
,3,3,701,วันจันทร์  13:00-16:00,LH3-302,"Q08-1 , Q03-2",300,,,,,,,จิรพงศ์ ทรัพย์ขุมทอง* ,,,,,,,,,,,,,
,3,3,800,วันพฤหัสบดี  13:00-16:00,LH4-502,Q03-2,83,,,,,,,จิรพงศ์ ทรัพย์ขุมทอง* ,,,,,,,,,,,,,
,3,3,815,วันอังคาร  13:00-16:00,LH4-306,"Q08-1 , Q08-2",122,,,,,,,จิรพงศ์ ทรัพย์ขุมทอง* ,,,,,,,,,,,,,
,3,3,820,วันอังคาร  13:00-16:00,LH4-306,"Q05-1 , Q05-2 , Q05-3",90,,,,,,,จิรพงศ์ ทรัพย์ขุมทอง* ,,,,,,,,,,,,,
01387102-67 ปรัชญาสำหรับชีวิตยุคใหม่ (Philosophy for New Life),3,3,700,วันพฤหัสบดี  9:00-12:00,LH3-301,"Q05-2 , Q22-1 , E24-4",300,,,,,,,จิรพงศ์ ทรัพย์ขุมทอง* ,,,,,,,,,,,,,
,3,3,701,วันพุธ  9:00-12:00,LH3-302,H05-4,1,,,,,,,วรท อุณหสุทธิยานนท์* ,,,,,,,,,,,,,
,3,3,820,วันศุกร์  9:00-12:00,LH2-303,"Q05-2 , Q05-4",88,,,,,,,วรท อุณหสุทธิยานนท์* ,,,,,,,,,,,,,
,3,3,845,วันพฤหัสบดี  9:00-12:00,LH3-301,E06-4X,1,,,,,,,จิรพงศ์ ทรัพย์ขุมทอง* ,,,,,,,,,,,,,
,3,3,855,วันพุธ  9:00-12:00,LH3-302,"H11-2 , H08 , H09 , H03",250,,,,,,,วรท อุณหสุทธิยานนท์* ,,,,,,,,,,,,,
01390103-67 การท่องเที่ยวเพื่อความผาสุก (Tourism for Well-Being),3,3,700,วันพฤหัสบดี  13:00-16:00,LH2-304,"H01-1 , H10-1",267,,,,,,,อิสระพงษ์ พลธานี* ,,,,,,,,,,,,,
,3,3,870,วันอังคาร  13:00-16:00,LH2-201,H01-1,210,,,,,,,อิสระพงษ์ พลธานี* ,,,,,,,,,,,,,
,3,3,880,วันพุธ  16:00-19:00,LH4-306,H10-1,118,,,,,,,อิสระพงษ์ พลธานี* ,,,,,,,,,,,,,
01390104-67 การพัฒนาบุคลิกภาพเพื่อการเป็นผู้ประกอบการสมัยใหม่ (Personality Development for Modern Entrepreneur),3,3,700,วันอังคาร  8:00-11:00,LH2-303,"H01-3 , H03-1",200,,,,,,,อิสระพงษ์ พลธานี* ,,,,,,,,,,,,,
,3,3,870,วันพุธ  9:00-12:00,LH4-302,"H01-3 , H01-4 , H01-5",70,,,,,,,อิสระพงษ์ พลธานี* ,,,,,,,,,,,,,
,3,3,872,วันจันทร์  16:00-19:00,LH3-302,H03-1,160,,,,,,,อิสระพงษ์ พลธานี* ,,,,,,,,,,,,,
01390211-64 นโยบายสาธารณะและหลักกฎหมายที่เกี่ยวข้องในธุรกิจการท่องเที่ยว (Public Policy and Law in Tourism Business),3,3,700,วันจันทร์  13:00-16:00,P310,H04-4,82,,,,,,,อุมาพร บุญเพชรแก้ว* ,,,,,,,,,,,,,
01390215-64 การบริการขนส่งและโลจิสติกส์ในธุรกิจการท่องเที่ยว (Transportation Service and Logistics in Tourism Business),3,3,700,วันอังคาร  13:00-16:00,P301,H04-2,60,,,,,,,เขวิกา สุขเอี่ยม* ,,,,,,,,,,,,,
,3,3,701,วันศุกร์  13:00-16:00,P301,H04-2,60,,,,,,,เขวิกา สุขเอี่ยม* ,,,,,,,,,,,,,
01390216-64 พฤติกรรมนักท่องเที่ยวและการออกแบบประสบการณ์ในอุตสาหกรรมท่องเที่ยว (Tourist Behavior and Experience Design inTourism),3,3,700,วันพฤหัสบดี  15:00-18:00,SILLH102,H04-2,120,,,,,,,อภิญญา สุพิชญ์* ,,,,,,,,,,,,,
01390217-64 เทคโนโลยีสารสนเทศสำหรับงานบริการในธุรกิจการท่องเที่ยว (Information Technology for Service Management in Tourism Business),3,2,700,วันพุธ  13:00-15:00,SILLH103,"H04-2 , H04-4",120,,,,,,,สุวิมล จันโททัย* ,,,,,,,,,,,,,
,,,,,,,,1,711,วันจันทร์  16:00-18:00,SILLH102,"H04-2 , H04-4",120,สุวิมล จันโททัย* ,,,,,,,,,,,,,
01390318-64 การจัดการทรัพยากรมนุษย์เพื่อธุรกิจการท่องเที่ยว (Human Resource Management for Tourism Business),3,3,700,"วันอังคาร  16:00-17:30,วันพฤหัสบดี  16:00-17:30","P401 , P513",H04-3,50,,,,,,,เขวิกา สุขเอี่ยม* ,,,,,,,,,,,,,
,3,3,701,วันศุกร์  9:00-12:00,P401,H04-3,50,,,,,,,เขวิกา สุขเอี่ยม* ,,,,,,,,,,,,,
01390342-64 การตลาดเพื่อธุรกิจการท่องเที่ยว (Marketing for Tourism Business),3,3,700,วันศุกร์  13:00-16:00,SILLH104,H04-3,100,,,,,,,อภิญญา สุพิชญ์* ,,,,,,,,,,,,,
01390343-64 วิธีเชิงปริมาณสำหรับธุรกิจการท่องเที่ยว (Quantitative Methods for Tourism Business),2,2,700,วันศุกร์  10:00-12:00,P301,H04-3,50,,,,,,,อภิญญา สุพิชญ์* ,,,,,,,,,,,,,
,2,2,701,วันอังคาร  16:00-18:00,P301,H04-3,50,,,,,,,อภิญญา สุพิชญ์* ,,,,,,,,,,,,,
01390364-64 การจัดการเทศกาลและงานกิจกรรมพิเศษ (Festival and Special Event Management),3,2,700,วันจันทร์  16:00-18:00,P310,H04-3,100,,,,,,,อุมาพร บุญเพชรแก้ว* ,,,,,,,,,,,,,
,,,,,,,,1,711,วันพุธ  16:00-18:00,P310,H04-3,100,อุมาพร บุญเพชรแก้ว* ,,,,,,,,,,,,,
01390374-64 การดำเนินงานและการจัดการงานจัดเลี้ยง (Catering Operations and Management),3,2,700,วันอังคาร  16:00-18:00,P415,H04-4,82,,,,,,,นุจนาถ นรินทร์* ,,,,,,,,,,,,,
,,,,,,,,1,711,วันพุธ  16:00-18:00,P415,H04-4,82,นุจนาถ นรินทร์* ,,,,,,,,,,,,,
01390426-64 การจัดการการท่องเที่ยวเชิงสุขภาพ (Wellness Tourism Management),3,3,700,วันพฤหัสบดี  16:00-19:00,P301,H04-4,60,,,,,,,อุมาพร บุญเพชรแก้ว* ,,,,,,,,,,,,,
01390473-64 การจัดการคุณภาพในธุรกิจการท่องเที่ยว (Quality Management in Tourism Business),3,3,700,วันจันทร์  13:00-16:00,P407,H04-3,100,,,,,,,สุวิมล จันโททัย* ,,,,,,,,,,,,,
01390490-64 สหกิจศึกษา (Co-operative Education),,,,,,,,6,711,ยังไม่มีการกำหนดวัน-เวลาเรียน,ยังไม่มีการกำหนดห้องเรียน,H04-5,15,สุวิมล จันโททัย* ,,,,,,,,,,,,,
วิทยาการจัดการ,,,,,,,,,,,,,,,,,,,,,,,,,,,
03751111-67 มนุษย์กับสิ่งแวดล้อม (Man and Environment),3,3,700,"วันจันทร์  16:00-17:30,วันพุธ  16:00-17:30","LH3-301 , LH3-301","Q08-1 , S02-3 , H01-1",300,,,,,,,พุทธพร ส่องศรี* ,,,,,,,,,,,,,
,3,3,701,"วันอังคาร  17:00-18:30,วันพฤหัสบดี  17:00-18:30","LH3-302 , LH3-302","E36-2 , F79-3",300,,,,,,,พุทธพร ส่องศรี* ,,,,,,,,,,,,,
,3,3,815,"วันพฤหัสบดี  14:30-16:00,วันศุกร์  10:30-12:00","LH2-301 , LH2-301",Q08-1,300,,,,,,,พุทธพร ส่องศรี* ,,,,,,,,,,,,,
,3,3,861,"วันจันทร์  17:30-19:00,วันพุธ  17:30-19:00","LH3-305 , LH3-305",S02-3,100,,,,,,,พุทธพร ส่องศรี* ,,,,,,,,,,,,,
,3,3,870,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","LH2-301 , LH2-301","H01-1 , H01-3",300,,,,,,,พุทธพร ส่องศรี* ,,,,,,,,,,,,,
03751112-67 สังคมและการเมือง (Social and Politics),3,3,700,วันอังคาร  13:00-16:00,SC9-509,ALL,70,,,,,,,สุภณิดา พวงผกา* ,,,,,,,,,,,,,
03752111-67 ทรัพยากรสารสนเทศเพื่อการค้นคว้า (Information Resources for Research),1,1,700,วันอังคาร  9:00-10:00,LH4-305,"Q28-1 , B03-3 , B03-4",175,,,,,,,ภัทรพร จินตกานนท์* ,,,,,,,,,,,,,
03753111-00 เศรษฐศาสตร์จุลภาค (Microeconomics),3,3,700,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","LH4-202 , LH4-202","Q26-1 , Q26-2 , Q26-3",70,,,,,,,วลี สงสุวงค์* ,,,,,,,,,,,,,
,3,3,866,"วันจันทร์  16:30-18:00,วันพุธ  16:30-18:00","LH4-202 , LH4-202","Q26-1 , Q26-2 , Q26-3 , Q26-4",120,,,,,,,วลี สงสุวงค์* ,,,,,,,,,,,,,
03754361-00 ภาษาอังกฤษธุรกิจ (Business English),3,3,700,"CLOSED,CLOSED","P513 , P512",-,60,,,,,,,นิติกร ฤทธิโคตร* ,,,,,,,,,,,,,
,3,3,701,"CLOSED,CLOSED","P505 , SIL201",-,61,,,,,,,Clement Robles Bana* ,,,,,,,,,,,,,
03754371-00 ภาษาอังกฤษสำหรับนักบัญชี (English for Accountant),3,3,700,"วันจันทร์  14:30-16:00,วันพุธ  14:30-16:00","KH80-207 , KH80-206","Q26-3 , Q26-4",60,,,,,,,นันทวัจน์ ปัญญายศธนากรณ์* ,,,,,,,,,,,,,
,3,3,701,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","KH80-207 , KH80-206",Q26-4,1,,,,,,,นันทวัจน์ ปัญญายศธนากรณ์* ,,,,,,,,,,,,,
,3,3,866,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","KH80-207 , KH80-206","Q26-3 , Q26-4",100,,,,,,,นันทวัจน์ ปัญญายศธนากรณ์* ,,,,,,,,,,,,,
03754375-00 ภาษาอังกฤษเพื่อธุรกิจจัดนำเที่ยวและตัวแทนทางการท่องเที่ยว (English for Tour Operator and Travel Agency Business),3,3,700,"CLOSED,CLOSED","SIL103 , SIL103",-,53,,,,,,,Clement Robles Bana* ,,,,,,,,,,,,,
03754473-00 ภาษาอังกฤษเทคนิคสำหรับธุรกิจโรงแรม (Technical English for Hotel Business),3,3,700,"วันพุธ  16:00-17:30,วันศุกร์  13:00-14:30","P513 , P512","H08-3 , H08-4X",60,,,,,,,นิติกร ฤทธิโคตร* ,,,,,,,,,,,,,
,3,3,701,"วันพุธ  16:00-17:30,วันศุกร์  13:00-14:30","P505 , SIL201","H08-3 , H08-4X",61,,,,,,,Clement Robles Bana* ,,,,,,,,,,,,,
,3,3,855,"วันอังคาร  17:30-19:00,วันพฤหัสบดี  17:30-19:00","P512 , P512","H08-3 , H08-4X",51,,,,,,,Clement Robles Bana* ,,,,,,,,,,,,,
,3,3,856,"วันอังคาร  17:30-19:00,วันพฤหัสบดี  17:30-19:00","P504 , P504","H08-3 , H08-4X",51,,,,,,,ธีระพงศ์ คงด้วง* ,,,,,,,,,,,,,
03754474-00 ภาษาอังกฤษเทคนิคสำหรับธุรกิจการท่องเที่ยว (Technical English for Tourism Business),3,3,700,"วันจันทร์  13:00-14:30,วันศุกร์  9:00-10:30","P517 , P415","H09-3 , H09-4X",83,,,,,,,Clement Robles Bana* ,,,,,,,,,,,,,
